Título;Preço unitário de investimento
Tesouro Selic 2031;R$ 18.265,60
Tesouro IPCA+ 2032;R$ 2.863,34
Tesouro IPCA+ com Juros Semestrais 2037;R$ 4.170,66
Tesouro IPCA+ 2040;R$ 1.665,64
Tesouro IPCA+ com Juros Semestrais 2045;R$ 4.095,41
Tesouro IPCA+ 2050;R$ 888,75
Tesouro IPCA+ com Juros Semestrais 2060;R$ 4.091,54
Tesouro Selic 2026;R$ 18.356,54
Tesouro Selic 2027;R$ 18.352,74
Tesouro Selic 2028;R$ 18.337,43
Tesouro Selic 2029;R$ 18.315,93
Tesouro Selic 2031;R$ 18.256,46
Tesouro IPCA+ 2026;R$ 4.372,13
Tesouro IPCA+ com Juros Semestrais 2026;R$ 4.637,03
Tesouro IPCA+ 2029;R$ 3.618,87
Tesouro IPCA+ com Juros Semestrais 2030;R$ 4.448,46
Tesouro IPCA+ 2032;R$ 2.842,75
Tesouro IPCA+ com Juros Semestrais 2032;R$ 4.351,06
Tesouro IPCA+ 2035;R$ 2.346,29
Tesouro IPCA+ com Juros Semestrais 2035;R$ 4.199,17
Tesouro IPCA+ com Juros Semestrais 2037;R$ 4.133,63
Tesouro IPCA+ 2040;R$ 1.638,99
Tesouro IPCA+ com Juros Semestrais 2040;R$ 4.157,66
Tesouro IPCA+ 2045;R$ 1.204,30
