Título;Rendimento anual do título;Preço unitário de resgate;Vencimento do Título
Tesouro Selic 2027;SELIC + 0,0199%;R$ 18.842,25;01/03/2027
Tesouro Selic 2028;SELIC + 0,0269%;R$ 18.836,05;01/03/2028
Tesouro Selic 2029;SELIC + 0,0542%;R$ 18.816,51;01/03/2029
Tesouro Selic 2031;SELIC + 0,0949%;R$ 18.759,45;01/03/2031
Tesouro Prefixado com Juros Semestrais 2027;13,91%;R$ 1.005,72;01/01/2027
Tesouro Prefixado 2027;13,96%;R$ 913,24;01/01/2027
Tesouro Prefixado 2028;13,46%;R$ 807,77;01/01/2028
Tesouro Prefixado com Juros Semestrais 2029;13,40%;R$ 960,25;01/01/2029
Tesouro Prefixado 2029;13,39%;R$ 714,55;01/01/2029
Tesouro Prefixado com Juros Semestrais 2031;13,60%;R$ 915,96;01/01/2031
Tesouro Prefixado 2031;13,51%;R$ 553,85;01/01/2031
Tesouro Prefixado 2032;13,60%;R$ 485,74;01/01/2032
Tesouro Prefixado com Juros Semestrais 2033;13,68%;R$ 880,98;01/01/2033
Tesouro Prefixado com Juros Semestrais 2035;13,69%;R$ 856,20;01/01/2035
Tesouro Prefixado com Juros Semestrais 2037;13,72%;R$ 835,53;01/01/2037
Tesouro IPCA+ 2026;IPCA + 8,95%;R$ 4.553,44;15/08/2026
Tesouro IPCA+ com Juros Semestrais 2026;IPCA + 8,95%;R$ 4.688,05;15/08/2026
Tesouro IPCA+ 2029;IPCA + 7,74%;R$ 3.732,66;15/05/2029
Tesouro IPCA+ com Juros Semestrais 2030;IPCA + 7,75%;R$ 4.453,76;15/08/2030
Tesouro IPCA+ 2032;IPCA + 7,58%;R$ 2.957,85;15/08/2032
Tesouro IPCA+ com Juros Semestrais 2032;IPCA + 7,61%;R$ 4.378,45;15/08/2032
Tesouro IPCA+ 2035;IPCA + 7,40%;R$ 2.461,18;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,46%;R$ 4.382,34;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2037;IPCA + 7,40%;R$ 4.339,80;15/05/2037
Tesouro IPCA+ 2040;IPCA + 7,13%;R$ 1.755,61;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2040;IPCA + 7,25%;R$ 4.243,21;15/08/2040
Tesouro IPCA+ 2045;IPCA + 7,06%;R$ 1.285,03;15/05/2045
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,19%;R$ 4.259,86;15/05/2045
Tesouro IPCA+ 2050;IPCA + 6,97%;R$ 918,62;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2050;IPCA + 7,13%;R$ 4.157,66;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2055;IPCA + 7,12%;R$ 4.195,87;15/05/2055
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,11%;R$ 4.101,49;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,23%;R$ 1.959,14;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,10%;R$ 1.412,61;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,02%;R$ 1.020,67;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 6,98%;R$ 735,85;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 6,96%;R$ 529,31;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 6,95%;R$ 380,14;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 6,95%;R$ 272,20;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 6,95%;R$ 194,93;15/12/2084
Tesouro Educa+ 2026;IPCA + 7,81%;R$ 3.681,93;15/12/2030
Tesouro Educa+ 2027;IPCA + 7,75%;R$ 3.716,07;15/12/2031
Tesouro Educa+ 2028;IPCA + 7,69%;R$ 3.457,99;15/12/2032
Tesouro Educa+ 2029;IPCA + 7,64%;R$ 3.219,97;15/12/2033
Tesouro Educa+ 2030;IPCA + 7,58%;R$ 3.002,23;15/12/2034
Tesouro Educa+ 2031;IPCA + 7,52%;R$ 2.802,47;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,47%;R$ 2.617,16;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,41%;R$ 2.448,59;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,36%;R$ 2.291,70;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,30%;R$ 2.149,00;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,25%;R$ 2.014,73;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,20%;R$ 1.890,54;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,16%;R$ 1.773,37;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,13%;R$ 1.662,23;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,10%;R$ 1.559,05;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,08%;R$ 1.460,88;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,07%;R$ 1.367,20;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,05%;R$ 1.282,13;15/12/2047
Tesouro Educa+ 2044;IPCA + 7,04%;R$ 1.200,57;15/12/2048
Tesouro IGPM+ com Juros Semestrais 2031;IGP-M + 8,13%;R$ 7.766,43;01/01/2031
